doc_id,sentence_id,matched_form,context,start_char,end_char,cluster,umap1,umap2,dist_to_cluster_0,dist_to_cluster_1,dist_to_cluster_2
A06785.txt,113,prices,"First, by the Assays of moneys made in former times, and the calculations of exchanges made thereupon, upon, according to the prices or valuations of the moneys enhanced beyond the Seas, and not enhanced with us in England.",126,132,0,10.512961,6.1479483,8.527994,8.9340105,9.201692
A06785.txt,121,prices,"The Rickx Doller being enhanced to 33. shillings lubish, made the price of the said Exchange at one shilling more, upon the 4. prices and a half to be at 24. s. 9 d. which contained for a long time at Hamborough and other places in Germany, Exchange at 24. s. 9d. in Germany. and all their own coins were correspondent thereunto in the inward value: but in the Low Countries the valuation did alter, and moneys were enhanced by intermissive times, by the wars and division of the 17.",127,133,0,10.462628,6.474291,9.426304,10.557335,10.738668
A06785.txt,195,prices,"And if the said Gentleman had bestowed the last year the said 100 l. in royals of 8, at 22 s. for the 5 prices, and paid them out there at 51 Stivers, and so returned his money by exchange at a low rate, or 33 s. 4 d, or under, he might have gotten 25 Per Cento, where the said royals (when he bought them) did cost him but ten upon the hundreth: and thus you may see what deep speculations this man hath (whilst he is enclosed within his Circle) to find out these Mysteries, & yet no Mysteries: like unto the Man, An Eunuch. that was no Man: which threw a Stone, A Pumex. that was no Stone: at a Bird, that was no Bird: sitting upon a Tree, A Bat.",104,110,0,10.428494,6.4358106,9.565868,10.950009,11.145807
A06785.txt,233,prices,"If the moneys were not enhanced beyond the Seas, Merchants could not sell our native commodities at the prices they now do, and return the value thereof by a low exchange from thence, or taking up the same here, give so little by exchange there.",104,110,0,10.612448,7.002872,8.629852,9.418439,9.630756
A06785.txt,345,prices,"P. 49. 52. and give bridle to the present course of Trade, expecting an overbalance to happen on our side without removing of the causes, after they had spoken well concerning exchanges: although they confessed to be a ground, as a matter much too high for their handling: saying, That the abuse thereof is very prejudicial unto this Kingdom in particular, whilst in the interim the benefits do arise unto other Countries, who diligently observing the prices, whereby the moneys be exchanged, may take advantage to carry away the gold and silver of this Realm, at those times when the rate of our Starlin money (in exchange) is under the value of that standard, unto which place they are conveyed, for in respect the prices of the exchanges do rise and fall according to the plenty and scarcity of money, which is to be taken up or delivered out: the exchange is hereby rather become a Trade for some great moneyed men, than a furtherance and accommodation of Recall Trade of Merchants, as it ought to be in the true use thereof: and thus many times money may be made over hither by strangers to a good gain, and presently carried beyond the Seas to a second profit.",452,458,0,10.666552,6.381326,9.77845,9.973109,10.23374
A06785.txt,497,prices,"It is true that there are Statutes against shipping Cloth undressed above a certain value, but there have been ever or for the most part means to dispense with the said Satutes, as the Lord of Cumberland his Licence, and others of that kind, for which business there hath been usually heretofore an Officer in the Custom House ready to admit composition with Strangers aswell as with others, and so the Strangers paying Strangers Custom, might ship Cloth undressed aswell as the Merchant's Adventurers: but now the Merchant's Adventurers have engrossed the foresaid dispensations into their own hands, so that the Strangers are now prevented of shipping Cloth undressed, as formerly they have done: by reason whereof, one other means whereby great quantities of Cloth have been heretofore vented, and the prices thereof advanced, is by the Merchant's Adventurers wholly intercepted.",805,811,0,10.487541,6.433667,8.562662,9.015038,9.256941
A06785.txt,533,prices,"COnsider we of the commodities returned and sold for 1914 Thousand 600 pounds, producing five and one third part for one towards custom charges, and all other things as aforesaid: and we shall be ravished with admiration upon examination of the prices in particular, by the said Author declared.",245,251,0,10.670242,6.5726213,8.972541,9.5603895,9.818927
A06785.txt,563,prices,"But the said Author doth set down the prices as they were in the time of wars, when Merchants charges, P. 45. adventure and all things were increased; and herein he maketh his comparison with Turkey, and according to that computation he affirmeth, that the trade in Spice and Indigo only, saveth the kingdom yearly 74966 l. 13 s. 4 d: and that less than one quarter of this sum shall buy in the Indies the proportion of the yearly consumption thereof, being 400 thousand of Pepper, 40 thousand of Cloves, 20 thousand of Mace, 160 thousand of Nutmegs, and 150 thousand of Indigo; which calculated by the prices of them, as they were sold coming from Portugal, will amount to 128 thousand pounds, and not 183500 l, as he reckoneth them coming from Turkey: so that the difference between Portugal and Turkey in this account is 55500 l, being in truth but 21666 l. 13. 4. to be reckoned upon the said allegation.",38,44,0,10.634774,6.5653353,8.59116,9.058953,9.290268
A06785.txt,563,prices,"But the said Author doth set down the prices as they were in the time of wars, when Merchants charges, P. 45. adventure and all things were increased; and herein he maketh his comparison with Turkey, and according to that computation he affirmeth, that the trade in Spice and Indigo only, saveth the kingdom yearly 74966 l. 13 s. 4 d: and that less than one quarter of this sum shall buy in the Indies the proportion of the yearly consumption thereof, being 400 thousand of Pepper, 40 thousand of Cloves, 20 thousand of Mace, 160 thousand of Nutmegs, and 150 thousand of Indigo; which calculated by the prices of them, as they were sold coming from Portugal, will amount to 128 thousand pounds, and not 183500 l, as he reckoneth them coming from Turkey: so that the difference between Portugal and Turkey in this account is 55500 l, being in truth but 21666 l. 13. 4. to be reckoned upon the said allegation.",603,609,0,10.572957,6.3670845,8.971445,9.292091,9.522005
A06785.txt,568,prices,"Calculate now what the said proportion for England did cost in the Indies according to the said prices, and you shall find it to be 16749 l. 15. 0. which is almost the sixth part of all the Spices and Indigo spent in Christendom: and this being sold in England, produceth 108333 l. 6. 8.",96,102,0,10.673141,6.629669,9.326148,10.268728,10.486236
A06786.txt,91,prices,"ALL men of judgement and understanding do know, that there is nothing more necessary for the knowledge of Histories, and diverse estates of the world, than the observation of Times, without which, great obscurity and errors will be found in the Actions of men, aswell in matters of Religion, as in civil government, where Merchants (in regard of their Traffic and Commerce) have the managing and disposing of the wealth of Kingdoms and Commonweals: So that it behoveth them, to observe the years, months, weeks, Merchants are to observe Time. and days, and (sometimes) the hours of their negotiation, with the course of the Moon, and the ebbing and flowing of waters, the variation of winds, and alterations of weathers, for storms at the seas, and unseasonable Times on land, whereby the harvests do fail, and commodities become to be plentiful or scarce, and the prices thereof dear or good cheap: with many other considerations incident in the course of buying and selling of commodities, and in receiving and paying of moneys.",865,871,0,10.499263,6.0609465,9.326533,9.647905,9.8941345
A06786.txt,899,prices,"THe Merchant's Trade for the East Indies, took beginning in England, in the year 1600; At which time Spices and all other Commodities were bought for the prices hereafter declared, translated out of the Portugal tongue, with my additions and observations concerning the goodness of those Commodities.",154,160,0,10.5064,6.5926137,8.09016,9.163448,9.395606
A06786.txt,971,prices,"Of ¾ of a Grains 25 Of one Grain 40 Of 1 ¼ Graine 50 Of 1 ½ Graine 60 Of 1 ¾ Graine 80 Of 2 Grains 100 Of 2 ¼ Grains 120 Of 2 ½ Grains 150 Of 2 ¾ Grains 9 ll 0 0 Of 3 Grains 12 0 0 Of 3 ¼ Grains 16 0 0 Of 3 ½ Grains 20 0 0 Of 3 ¾ Grains 24 0 0 Of 4 Gr. or one Carrat 30 0 0 Of one Carrat ¼ 33 0 0 Of 1 ½ Carrats 36 0 0 Of 1 ¾ Carrat 40 0 0 Of 2 Carrats 60 0 0 Of 3 Carrats 100 0 0 Of 4 Carrats 200 0 0

All which prices may alter from time to time according to the use of precious Stones, upon accidental causes of the marriages, of Princes and great personages, to be done proportionably.",413,419,0,10.714052,6.57275,8.961788,9.601403,9.790307
A06786.txt,974,prices,"But in England & France they are worth ⅓ part less (which is according to the above said prices that Diamonds are now worth with us also.) The Diamond of a full Carrat being a perfect Table, and yellow, is worth 20 ll sterling.",89,95,0,10.53821,6.605839,8.457325,9.270413,9.452951
A06786.txt,999,prices,"Also great unproportionated Pearls called Barocos, according to estimation and goodness, as these prices were made at Paris, and when they are hole or boared and stringed up in four sorts, called Entreneto, and put into boxes, than they are sold one with another according to their sorts, for 4 or 5 ll the ounce: diverse flat Pearls serving for buttons, Round Pearl put upon papers are sold by the piece according to their bigness and fairness.",98,104,0,10.539917,6.5835567,10.064595,11.214704,11.383216
A06786.txt,1095,prices,"Have not we found of late years, that cloth was sold in greater quantity, and at greater prices, when the Todd of Wool was sold at 32 and 33 shillings, and clothes accordingly, than now when Wool is sold for 18 and 20 shillings ▪ The revolution of things may alter again and revive trade; if not, procure you to have foreign commodities better cheap, whereof you have not so much need, as they have of ours.",89,95,0,10.528616,7.067395,8.592753,9.745598,9.940344
A06786.txt,1152,prices,"For when they have sold their Clothes unto other Merchants, or others, payable at 4, 6, 8, or more months; they presently transfer and set over these Bills (so received for the payment of their Clothes) unto other Merchants, and take for them other commodities at such prices as they can agree with the Seller of them, be it Velvets, Silks, Satins, Fustians, or any other wares or commodities, to make return of the provenue of theirs; and so selling those foreign commodities here in England, they presently buy more Clothes, and continue a Revolution of buying and selling in the course of Traffic and Commerce, being so (in effect) as may be illustrated by example.",269,275,0,10.6078005,7.087924,9.005059,10.403675,10.585134
A06786.txt,2093,prices,"Albeit that there be no combination to limit any certain prices, for the sale of commodities in the particular of one Merchant or more Merchants agreed together to buy up a commodity, it may be called a forestall.",57,63,0,10.78089,6.6949277,8.352065,8.909202,9.12125
A06786.txt,2354,prices,"In which markets it is lawful to the Provost and Bailifeses to set down prices, and to compel the Packer and Piler to sell again for the need of the subjects; which being done, they may transport the remainder where they will: and if they commit any contempt, than their fish is forfeited, two parts to the King, and the third to the Magistrate.",72,78,0,10.577084,6.6218944,8.240655,9.198633,9.416312
A06786.txt,3063,prices,"Provided always that the said opening be done in the presence of him to whom the said coffers, trusses, or letters were directed, if they can instantly come at them, besides some one of the Magistrates where the said seizure is made; to the end that thereby the name may be known of him who hath sent the said moneys at higher prices, and to no other effect.

26 All which penalties and forfeitures shall be distributed, the one third part to the poor of the town where the penalty falleth; the other third part to the accuser, and the other third to the officer who shall challenge the execution to be done; unless it were that the said forfeitures did exceed the sum of five thousand Guilders: In this case the one half shall be for the benefit of the common cause, and the other halfe to be divided proportionably between the said three parties.",327,333,0,10.578548,7.0456758,8.790193,10.153075,10.338734
