doc_id,sentence_id,matched_form,context,start_char,end_char,cluster,umap1,umap2,dist_to_cluster_0,dist_to_cluster_1,dist_to_cluster_2,representative_cluster
wealth.txt,2039,prices,"The respective prices of corn, rice, and sugar, are there
      probably in the natural proportion, or in that which naturally takes place
      in the different crops of the greater part of cultivated land, and which
      recompenses the landlord and farmer, as nearly as can be computed,
      according to what is usually the original expense of improvement, and the
      annual expense of cultivation.",15,21,0,10.90908,6.309973,5.2767596,8.3373,7.9586706,0
A06785.txt,563,prices,"But the said Author doth set down the prices as they were in the time of wars, when Merchants charges, P. 45. adventure and all things were increased; and herein he maketh his comparison with Turkey, and according to that computation he affirmeth, that the trade in Spice and Indigo only, saveth the kingdom yearly 74966 l. 13 s. 4 d: and that less than one quarter of this sum shall buy in the Indies the proportion of the yearly consumption thereof, being 400 thousand of Pepper, 40 thousand of Cloves, 20 thousand of Mace, 160 thousand of Nutmegs, and 150 thousand of Indigo; which calculated by the prices of them, as they were sold coming from Portugal, will amount to 128 thousand pounds, and not 183500 l, as he reckoneth them coming from Turkey: so that the difference between Portugal and Turkey in this account is 55500 l, being in truth but 21666 l. 13. 4. to be reckoned upon the said allegation.",38,44,0,10.634774,6.5653353,5.4546313,9.032465,9.290268,0
wealth.txt,1534,prices,"This daily or weekly recompence, however, seems to have been
      considered as the whole of it, by many writers who have collected the
      prices of labor and provisions in ancient times, and who have taken
      pleasure in representing both as wonderfully low.",143,149,0,10.901738,6.1002197,5.659557,8.4331455,8.2465725,0
A06791.txt,207,prices,"So that the effect of it is like unto the barter of two merchants, the one delivering commodity and money, and the other commodities only: he that delivereth commodities only, doth overset the same in price, and the other that delivereth commodities and money doth overset his commodities also somewhat accordingly: but doth not consider that he cannot overset his money: whereby it cometh to pass, that he hath foreign commodities at a dear rate for his home commodities and money: yet because he findeth through the excessive use of those foreign commodities present sale with a reasonable gain, he thinketh to have made a very good match: whereas by his means the Realm is not only deprived of the ready money, but sustained a great loss beside, in paying too dear for those commodities, as we may easily perceive, if we do consider both the prices of the above named foreign commodities, and our home commodities altered within these fifty years.",845,851,0,10.578295,6.066911,5.676396,9.456369,8.853293,0
A06785.txt,533,prices,"COnsider we of the commodities returned and sold for 1914 Thousand 600 pounds, producing five and one third part for one towards custom charges, and all other things as aforesaid: and we shall be ravished with admiration upon examination of the prices in particular, by the said Author declared.",245,251,0,10.670242,6.5726213,5.681752,9.394974,9.818927,0
wealth.txt,7550,price,"To depress the price of this commodity below what
      may be called its natural and proper price, was the avowed purpose of
      those regulations; and there seems to be no doubt of their having produced
      the effect that was expected from them.",93,98,1,-1.6134003,4.1908994,7.928132,4.915163,5.245139,1
wealth.txt,2206,price,"Rent accordingly,
      seems at the greater part of mines to have but a small share in the price
      of the coarse, and a still smaller in that of the precious metals. labor
      and profit make up the greater part of both.",92,97,1,-4.0956874,2.6879213,7.8897767,4.925561,5.1292214,1
wealth.txt,7289,price,"But if
      the profits of those who deal in such goods are above their proper level,
      those goods will be sold dearer than they ought to be, or somewhat above
      their natural price, and all those engaged in the nearer employments will
      be more or less oppressed by this high price.",186,191,1,-1.6401532,4.1007667,8.184348,5.022936,5.489973,1
A06788.txt,265,price,"And if our merchants were cut off, and that other nations should buy the cloth within the realm, and so advance the price thereof (as it happeneth most commonly in France and Spain at the vintage time with their wines and raisins) then foreign Commodities would be sold dearer unto us by them again.",116,121,1,-4.474505,1.6578163,8.286709,5.094828,5.3455873,1
A06785.txt,149,price,"Starlin, to show how Merchants may be correspondence accommodate each other, to the Kingdom's great loss, by the means of a low Exchange, which must in the comparison needs be under the price supposed in Exchange, and not at 33. s. 4. d, which is called low in regard of the present, and hereupon he doth miscast 100 l. in 1000 l. between the Londoners and the Amsterdamers, with other cavillations in the answering thereof: I though good to observe the same between the price of equal exchange, altered by the enhancing of moneys beyond the Seas at the beginning, when 20. s.",186,191,1,-1.9792905,1.1972692,8.384404,5.199927,6.193076,1
A06785.txt,55,price,"Again, when the price of commodities is raised generally with the price of moneys enhanced; P. 25. shall we contradict the same, because one commodity, as Cloves, is not risen, but sold as a staple ware?",16,21,2,-5.8115664,3.2282183,7.929396,6.018259,4.3287244,2
A07594__Circle_of_Commerce.txt,183,price,"For it is not the rate of Exchange, whether it be higher or lower, that maketh the price of Comodities deare or cheape, as Malynes would here inferre; but it is the plenty or ſcarcitie of of Commodities, their vſe or Non-vſe, that maketh them riſe and fall in price.",83,88,2,-4.835229,0.96571285,8.303326,5.3337913,4.411518,2
A06788.txt,200,price,"Which true ground must be by making a comparison of the enhancing of the price of the Commodities of one country, with the price of the Commodities of other countries: and thereby to find out, whether things are grown dear with us in effect; and whether we pay more proportionably for the foreign Commodities within the aforesaid time of three hundred years, than we do receive for the price of our home Commodities.",73,78,2,-5.396034,2.2993968,7.831609,5.8561354,4.5129976,2
A06786.txt,3573,price,"Hence did proceed the cause that when our Gold in the year 1611, The price of Gold not so effectual, as the price of Silver. was advanced ten in the hundreth above the Silver, the prices of commodities did not rise, albeit foreign Nations did cause the price of Exchange to fall.",69,74,2,-5.533433,1.5251285,8.265714,5.627329,4.5359955,2
wealth.txt,7945,price,"The dearer the latter, therefore, the cheaper the
      former; and whatever tends in any country to raise the price of
      manufactured produce, tends to lower that of the rude produce of the land,
      and thereby to discourage agriculture.",111,116,2,-5.30562,4.07114,8.42797,5.9866695,4.5593204,2
